#1.Gene_Id	2.Gene_name	3.Chromosome_and_genomic_position	4.Strand	5.Event_type	6.Variable_part_length	7.Frameshift_?	8.CDS_?	9.Gene_biotype	10.number_of_known_splice_sites/number_of_SNPs	11.genomic_blocs_size_(upper_path)	12.genomic_position_of_each_splice_site_(upper_path)/of_each_SNP	13.paralogs_?	14.Complex_event_?	15.snp_in_variable_region	16.Event_name	17.genomic_blocs_size_(lower_path)	18.genomic_position_of_each_splice_site_(lower_path)	19.Psi_for_each_replicate	20.Read_coverage(upper_path)	21.Read_coverage(lower_path)	22.Canonical_sites?
ENSG00000137434.11	C6orf52	6:10683193-10687006	-	ES	75	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,75,41	10683232,10684849,10684923,10686966	regular	0	False	bcc_167098|Cycle_0	40,41	10683232,10686966	psi1+2:0.26,psi3+4:0.22,psi5+6:0.54,psi7+8:0.44	AS1_6|SB1_4|S1_0|ASSB1_0|AS2_3|SB2_1|S2_0|ASSB2_0|AS3_9|SB3_2|S3_0|ASSB3_0|AS4_0|SB4_1|S4_0|ASSB4_0|AS5_11|SB5_10|S5_2|ASSB5_0|AS6_7|SB6_5|S6_1|ASSB6_0|AS7_6|SB7_7|S7_1|ASSB7_0|AS8_5|SB8_2|S8_2|ASSB8_0	AB1_14|AB2_8|AB3_21|AB4_2|AB5_7|AB6_10|AB7_14|AB8_2	-
ENSG00000163875.15	MEAF6	1:37496564-37501844	-	ES	30	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,30,41	37496604,37496707,37496736,37501804	regular	0	False	bcc_68965|Cycle_4	41,41	37496604,37501804	psi1+2:NaN,psi3+4:NaN,psi5+6:0.74,psi7+8:NaN	AS1_1|SB1_1|S1_0|ASSB1_0|AS2_0|SB2_0|S2_0|ASSB2_0|AS3_0|SB3_0|S3_0|ASSB3_0|AS4_1|SB4_0|S4_0|ASSB4_0|AS5_8|SB5_2|S5_0|ASSB5_1|AS6_13|SB6_4|S6_0|ASSB6_3|AS7_4|SB7_1|S7_0|ASSB7_1|AS8_3|SB8_1|S8_0|ASSB8_0	AB1_21|AB2_12|AB3_12|AB4_2|AB5_5|AB6_1|AB7_2|AB8_1	-
ENSG00000185122.10	HSF1	8:144291836-144308945	+	ES	220	False	False	protein_coding	2_ss_annotated_(over_4_ss):144291874,144308906	39,220,40	144291874,144306548,144306767,144308906	regular	0	False	bcc_108176|Cycle_0	39,40	144291874,144308906	psi1+2:0.04,psi3+4:0.07,psi5+6:0.04,psi7+8:0.03	AS1_8|SB1_5|S1_6|ASSB1_0|AS2_7|SB2_13|S2_27|ASSB2_0|AS3_2|SB3_4|S3_8|ASSB3_0|AS4_4|SB4_3|S4_28|ASSB4_0|AS5_0|SB5_2|S5_8|ASSB5_0|AS6_3|SB6_4|S6_4|ASSB6_0|AS7_0|SB7_1|S7_12|ASSB7_0|AS8_3|SB8_5|S8_4|ASSB8_0	AB1_238|AB2_207|AB3_89|AB4_109|AB5_21|AB6_120|AB7_45|AB8_169	-
ENSG00000135476.11	ESPL1	12:53284127-53288010	+	ES	989	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,989,39	53284167,53285924,53286912,53287972	regular	0	False	bcc_135201|Cycle_477344	41,39	53284167,53287972	psi1+2:0.72,psi3+4:NaN,psi5+6:NaN,psi7+8:0.82	AS1_8|SB1_25|S1_352|ASSB1_0|AS2_40|SB2_19|S2_321|ASSB2_0|AS3_14|SB3_11|S3_171|ASSB3_0|AS4_15|SB4_12|S4_149|ASSB4_0|AS5_8|SB5_4|S5_61|ASSB5_0|AS6_1|SB6_3|S6_60|ASSB6_0|AS7_4|SB7_11|S7_134|ASSB7_0|AS8_4|SB8_11|S8_104|ASSB8_0	AB1_2|AB2_23|AB3_2|AB4_1|AB5_0|AB6_0|AB7_1|AB8_4	-
NA	NA	1:41433261-41464576	-	ES	76	False	NA	NA	no_known_ss	41,76,38	41433301,41454177,41454252,41464539	regular	0	False	bcc_135201|Cycle_178998	41,38	41433301,41464539	psi1+2:0.35,psi3+4:0.41,psi5+6:0.37,psi7+8:0.45	AS1_3|SB1_0|S1_0|ASSB1_0|AS2_4|SB2_61|S2_2|ASSB2_0|AS3_1|SB3_2|S3_0|ASSB3_0|AS4_4|SB4_37|S4_0|ASSB4_0|AS5_4|SB5_0|S5_0|ASSB5_0|AS6_0|SB6_11|S6_0|ASSB6_0|AS7_1|SB7_7|S7_4|ASSB7_0|AS8_1|SB8_8|S8_0|ASSB8_0	AB1_1|AB2_71|AB3_1|AB4_33|AB5_2|AB6_12|AB7_3|AB8_11	-
ENSG00000048052.21	HDAC9	7:19001208-19107320	+	ES_altA	908	False	False	protein_coding	2_ss_annotated_(over_6_ss):19056051,19056165	40,115,833	19001247,19056051,19056165,19106488	regular	0	False	bcc_135201|Cycle_94881	40,41	19001247,19107280	psi1+2:NaN,psi3+4:NaN,psi5+6:NaN,psi7+8:NaN	AS1_4|SB1_0|S1_65|ASSB1_0|AS2_9|SB2_1|S2_36|ASSB2_0|AS3_3|SB3_0|S3_56|ASSB3_0|AS4_19|SB4_0|S4_44|ASSB4_0|AS5_25|SB5_10|S5_159|ASSB5_0|AS6_39|SB6_2|S6_124|ASSB6_0|AS7_4|SB7_7|S7_116|ASSB7_0|AS8_51|SB8_3|S8_106|ASSB8_0	AB1_1|AB2_3|AB3_0|AB4_1|AB5_1|AB6_2|AB7_2|AB8_2	-
ENSG00000175224.16	ATG13	11:46617850-46630083	+	ES	117	True	False	protein_coding	all_splice_sites_known_(4_ss)	41,117,39	46617890,46625301,46625417,46630045	regular	0	False	bcc_135201|Cycle_119940	41,39	46617890,46630045	psi1+2:0.2,psi3+4:0.1,psi5+6:0.16,psi7+8:0.16	AS1_3|SB1_9|S1_5|ASSB1_0|AS2_7|SB2_5|S2_5|ASSB2_0|AS3_11|SB3_0|S3_0|ASSB3_0|AS4_9|SB4_4|S4_3|ASSB4_0|AS5_3|SB5_8|S5_3|ASSB5_0|AS6_6|SB6_15|S6_6|ASSB6_0|AS7_5|SB7_13|S7_7|ASSB7_0|AS8_9|SB8_9|S8_8|ASSB8_0	AB1_25|AB2_34|AB3_62|AB4_44|AB5_32|AB6_62|AB7_55|AB8_61	-
ENSG00000196152.10	ZNF79	9:127424763-127428872	+	ES_altD	216	True	False	protein_coding	all_splice_sites_known_(5_ss)	148,109,41	127424910,127428552,127428660,127428832	regular	0	False	bcc_135201|Cycle_498746	41,41	127424803,127428832	psi1+2:NaN,psi3+4:0.78,psi5+6:0.71,psi7+8:0.6	AS1_26|SB1_5|S1_32|ASSB1_0|AS2_16|SB2_6|S2_24|ASSB2_0|AS3_10|SB3_2|S3_16|ASSB3_0|AS4_20|SB4_2|S4_20|ASSB4_0|AS5_12|SB5_0|S5_17|ASSB5_0|AS6_10|SB6_1|S6_18|ASSB6_0|AS7_16|SB7_4|S7_11|ASSB7_0|AS8_11|SB8_2|S8_17|ASSB8_0	AB1_2|AB2_2|AB3_2|AB4_4|AB5_6|AB6_1|AB7_4|AB8_8	-
ENSG00000111237.18	VPS29	12:110496163-110502077	-	ES	40	False	False	protein_coding	all_splice_sites_known_(4_ss)	41,40,12	110496203,110498820,110498859,110499535	regular	0	False	bcc_135201|Cycle_290970	41,12	110496203,110499535	psi1+2:0.05,psi3+4:0.06,psi5+6:0.07,psi7+8:0.04	AS1_3|SB1_1|S1_0|ASSB1_0|AS2_4|SB2_59|S2_0|ASSB2_3|AS3_0|SB3_0|S3_0|ASSB3_0|AS4_15|SB4_47|S4_0|ASSB4_11|AS5_0|SB5_0|S5_0|ASSB5_0|AS6_3|SB6_14|S6_0|ASSB6_2|AS7_0|SB7_0|S7_0|ASSB7_0|AS8_4|SB8_10|S8_0|ASSB8_1	AB1_15|AB2_791|AB3_5|AB4_546|AB5_2|AB6_137|AB7_2|AB8_190	-
ENSG00000139974.15	SLC38A6	14:61078889-61083589	+	ES	67	False	False	protein_coding	2_ss_annotated_(over_4_ss):61078927,61083550	39,67,40	61078927,61079736,61079802,61083550	regular	0	False	bcc_135201|Cycle_72006	39,40	61078927,61083550	psi1+2:0.25,psi3+4:0.29,psi5+6:NaN,psi7+8:NaN	AS1_7|SB1_8|S1_0|ASSB1_0|AS2_6|SB2_1|S2_0|ASSB2_0|AS3_6|SB3_6|S3_0|ASSB3_0|AS4_9|SB4_0|S4_0|ASSB4_0|AS5_2|SB5_0|S5_0|ASSB5_0|AS6_0|SB6_0|S6_0|ASSB6_0|AS7_1|SB7_1|S7_0|ASSB7_0|AS8_1|SB8_0|S8_0|ASSB8_0	AB1_31|AB2_7|AB3_29|AB4_1|AB5_16|AB6_22|AB7_28|AB8_24	-
ENSG00000087157.18	PGS1	17:78404050-78419584	+	ES	76	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,76,39	78404089,78414952,78415027,78419546	regular	0	False	bcc_135201|Cycle_462325	40,39	78404089,78419546	psi1+2:0.93,psi3+4:0.94,psi5+6:0.93,psi7+8:0.94	AS1_142|SB1_353|S1_54|ASSB1_0|AS2_132|SB2_574|S2_54|ASSB2_0|AS3_88|SB3_289|S3_25|ASSB3_0|AS4_148|SB4_408|S4_36|ASSB4_0|AS5_37|SB5_86|S5_5|ASSB5_0|AS6_26|SB6_209|S6_16|ASSB6_0|AS7_52|SB7_210|S7_8|ASSB7_0|AS8_35|SB8_287|S8_27|ASSB8_0	AB1_21|AB2_31|AB3_15|AB4_18|AB5_4|AB6_12|AB7_10|AB8_12	-
ENSG00000118762.7	PKD2	4:88008288-88036260	+	ES	114	True	True	protein_coding	all_splice_sites_known_(4_ss)	41,114,41	88008328,88019458,88019571,88036220	regular	0	False	bcc_135201|Cycle_219671	41,41	88008328,88036220	psi1+2:0.98,psi3+4:NaN,psi5+6:NaN,psi7+8:NaN	AS1_97|SB1_351|S1_131|ASSB1_0|AS2_124|SB2_82|S2_54|ASSB2_0|AS3_69|SB3_151|S3_62|ASSB3_0|AS4_71|SB4_119|S4_82|ASSB4_0|AS5_27|SB5_143|S5_50|ASSB5_0|AS6_80|SB6_86|S6_85|ASSB6_0|AS7_53|SB7_117|S7_43|ASSB7_0|AS8_52|SB8_95|S8_123|ASSB8_0	AB1_7|AB2_1|AB3_0|AB4_1|AB5_1|AB6_1|AB7_0|AB8_0	-
ENSG00000117640.17	MTFR1L	1:25823089-25823683	+	ES	94	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,94,40	25823128,25823346,25823439,25823644	regular	0	False	bcc_135201|Cycle_282489	40,40	25823128,25823644	psi1+2:0.05,psi3+4:0.18,psi5+6:0.08,psi7+8:0.08	AS1_4|SB1_2|S1_10|ASSB1_0|AS2_23|SB2_1|S2_10|ASSB2_0|AS3_9|SB3_1|S3_7|ASSB3_0|AS4_10|SB4_1|S4_35|ASSB4_0|AS5_4|SB5_4|S5_9|ASSB5_0|AS6_8|SB6_4|S6_15|ASSB6_0|AS7_18|SB7_6|S7_17|ASSB7_0|AS8_5|SB8_6|S8_16|ASSB8_0	AB1_69|AB2_376|AB3_19|AB4_127|AB5_178|AB6_85|AB7_278|AB8_109	-
ENSG00000111371.15	SLC38A1	12:46189031-46197759	-	ES	147	True	False	protein_coding	2_ss_annotated_(over_4_ss):46189071,46197720	41,147,40	46189071,46196725,46196871,46197720	regular	0	False	bcc_135201|Cycle_61884	41,40	46189071,46197720	psi1+2:0.08,psi3+4:0.08,psi5+6:0.03,psi7+8:0.04	AS1_0|SB1_0|S1_0|ASSB1_0|AS2_0|SB2_1|S2_16|ASSB2_0|AS3_1|SB3_0|S3_5|ASSB3_0|AS4_0|SB4_4|S4_9|ASSB4_0|AS5_1|SB5_3|S5_6|ASSB5_0|AS6_4|SB6_1|S6_3|ASSB6_0|AS7_2|SB7_0|S7_11|ASSB7_0|AS8_5|SB8_2|S8_6|ASSB8_0	AB1_13|AB2_60|AB3_21|AB4_64|AB5_48|AB6_163|AB7_30|AB8_181	-
ENSG00000052841.14	TTC17	11:43397451-43399928	+	ES	89	False	True	protein_coding	3_ss_annotated_(over_4_ss):43397491,43398113,43399888	41,89,41	43397491,43398025,43398113,43399888	regular	0	False	bcc_135201|Cycle_430432	41,41	43397491,43399888	psi1+2:0.97,psi3+4:0.94,psi5+6:0.96,psi7+8:0.93	AS1_5|SB1_270|S1_155|ASSB1_0|AS2_0|SB2_124|S2_30|ASSB2_0|AS3_13|SB3_232|S3_124|ASSB3_0|AS4_5|SB4_110|S4_41|ASSB4_0|AS5_11|SB5_193|S5_102|ASSB5_0|AS6_9|SB6_79|S6_37|ASSB6_0|AS7_9|SB7_198|S7_80|ASSB7_0|AS8_2|SB8_48|S8_29|ASSB8_0	AB1_10|AB2_0|AB3_14|AB4_3|AB5_5|AB6_4|AB7_12|AB8_1	-
ENSG00000140743.7	CDR2	16:22349811-22374271	-	ES	113	False	True	protein_coding	all_splice_sites_known_(4_ss)	39,113,41	22349849,22364902,22365014,22374231	regular	0	False	bcc_135201|Cycle_341693	39,41	22349849,22374231	psi1+2:0.93,psi3+4:0.91,psi5+6:0.92,psi7+8:0.92	AS1_168|SB1_160|S1_133|ASSB1_0|AS2_138|SB2_134|S2_116|ASSB2_0|AS3_64|SB3_112|S3_67|ASSB3_0|AS4_142|SB4_131|S4_98|ASSB4_0|AS5_66|SB5_84|S5_85|ASSB5_0|AS6_87|SB6_98|S6_60|ASSB6_0|AS7_91|SB7_111|S7_83|ASSB7_0|AS8_89|SB8_52|S8_64|ASSB8_0	AB1_6|AB2_23|AB3_6|AB4_20|AB5_7|AB6_11|AB7_6|AB8_13	-
ENSG00000154640.14	BTG3	21:17598784-17604900	-	ES	126	True	False	protein_coding	2_ss_annotated_(over_4_ss):17598824,17604860	41,126,41	17598824,17601397,17601522,17604860	regular	0	False	bcc_135201|Cycle_478043	41,41	17598824,17604860	psi1+2:0.02,psi3+4:0.03,psi5+6:0.02,psi7+8:0.02	AS1_5|SB1_3|S1_4|ASSB1_0|AS2_3|SB2_1|S2_3|ASSB2_0|AS3_5|SB3_1|S3_5|ASSB3_0|AS4_4|SB4_1|S4_5|ASSB4_0|AS5_3|SB5_3|S5_2|ASSB5_0|AS6_3|SB6_1|S6_2|ASSB6_0|AS7_2|SB7_0|S7_4|ASSB7_0|AS8_0|SB8_2|S8_4|ASSB8_0	AB1_151|AB2_260|AB3_94|AB4_237|AB5_163|AB6_95|AB7_155|AB8_93	-
ENSG00000142227.10	EMP3	19:48325571-48326869	+	ES	63	True	False	protein_coding	all_splice_sites_known_(4_ss)	40,63,40	48325610,48325991,48326053,48326830	regular	0	False	bcc_135201|Cycle_231579	40,40	48325610,48326830	psi1+2:0.16,psi3+4:0.11,psi5+6:0.15,psi7+8:0.14	AS1_9|SB1_8|S1_0|ASSB1_4|AS2_12|SB2_138|S2_0|ASSB2_5|AS3_2|SB3_11|S3_0|ASSB3_0|AS4_7|SB4_93|S4_0|ASSB4_1|AS5_0|SB5_8|S5_0|ASSB5_0|AS6_2|SB6_14|S6_0|ASSB6_1|AS7_0|SB7_15|S7_0|ASSB7_0|AS8_4|SB8_24|S8_0|ASSB8_2	AB1_85|AB2_400|AB3_42|AB4_488|AB5_4|AB6_74|AB7_10|AB8_133	-
ENSG00000121897.14	LIAS	4:39471268-39477101	+	ES	112	False	True	protein_coding	all_splice_sites_known_(4_ss)	39,112,39	39471306,39473100,39473211,39477063	regular	0	False	bcc_135201|Cycle_410696	39,39	39471306,39477063	psi1+2:NaN,psi3+4:0.9,psi5+6:NaN,psi7+8:NaN	AS1_52|SB1_18|S1_16|ASSB1_0|AS2_7|SB2_13|S2_5|ASSB2_0|AS3_45|SB3_20|S3_11|ASSB3_0|AS4_7|SB4_16|S4_6|ASSB4_0|AS5_35|SB5_16|S5_12|ASSB5_0|AS6_19|SB6_8|S6_6|ASSB6_0|AS7_24|SB7_11|S7_9|ASSB7_0|AS8_12|SB8_4|S8_4|ASSB8_0	AB1_3|AB2_0|AB3_3|AB4_2|AB5_4|AB6_0|AB7_1|AB8_0	-
ENSG00000196458.10	ZNF605	12:132927123-132933075	-	ES	93	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,93,41	132927162,132932713,132932805,132933035	regular	0	False	bcc_135201|Cycle_337478	40,41	132927162,132933035	psi1+2:NaN,psi3+4:NaN,psi5+6:0.12,psi7+8:NaN	AS1_1|SB1_2|S1_2|ASSB1_0|AS2_0|SB2_0|S2_1|ASSB2_0|AS3_0|SB3_1|S3_3|ASSB3_0|AS4_0|SB4_2|S4_2|ASSB4_0|AS5_4|SB5_3|S5_2|ASSB5_0|AS6_2|SB6_0|S6_3|ASSB6_0|AS7_1|SB7_2|S7_2|ASSB7_0|AS8_1|SB8_1|S8_2|ASSB8_0	AB1_18|AB2_5|AB3_12|AB4_4|AB5_36|AB6_15|AB7_35|AB8_11	-
ENSG00000007866.19	TEAD3	6:35478545-35484599	-	ES	63	True	False	protein_coding	all_splice_sites_known_(4_ss)	12,63,40	35479316,35480060,35480122,35484560	regular	0	False	bcc_135201|Cycle_134762	12,40	35479316,35484560	psi1+2:NaN,psi3+4:NaN,psi5+6:NaN,psi7+8:0.29	AS1_0|SB1_21|S1_0|ASSB1_0|AS2_2|SB2_3|S2_0|ASSB2_0|AS3_2|SB3_4|S3_0|ASSB3_0|AS4_0|SB4_0|S4_0|ASSB4_0|AS5_0|SB5_2|S5_0|ASSB5_0|AS6_1|SB6_4|S6_0|ASSB6_0|AS7_2|SB7_1|S7_0|ASSB7_0|AS8_7|SB8_4|S8_0|ASSB8_0	AB1_1|AB2_0|AB3_0|AB4_3|AB5_2|AB6_4|AB7_8|AB8_12	-
ENSG00000147905.17	ZCCHC7	9:37120584-37302228	+	ES_altD	635	False	True	protein_coding	4_ss_annotated_(over_5_ss):37120623,37126312,37126942,37302188	44,631,41	37120627,37126312,37126942,37302188	regular	0	False	bcc_135201|Cycle_95531	40,41	37120623,37302188	psi1+2:0.67,psi3+4:0.63,psi5+6:0.76,psi7+8:0.83	AS1_27|SB1_0|S1_272|ASSB1_0|AS2_99|SB2_19|S2_265|ASSB2_0|AS3_11|SB3_0|S3_174|ASSB3_0|AS4_65|SB4_9|S4_200|ASSB4_0|AS5_58|SB5_0|S5_384|ASSB5_0|AS6_100|SB6_29|S6_294|ASSB6_0|AS7_30|SB7_3|S7_236|ASSB7_0|AS8_76|SB8_15|S8_196|ASSB8_0	AB1_0|AB2_42|AB3_0|AB4_34|AB5_0|AB6_34|AB7_0|AB8_14	-
ENSG00000160194.17	NDUFV3	21:42897008-42908904	+	ES_altD	1096	False	True	protein_coding	3_ss_annotated_(over_5_ss):42897047,42904276,42908864	39,1097,41	42897046,42903180,42904276,42908864	regular	0	False	bcc_135201|Cycle_419578	40,41	42897047,42908864	psi1+2:0.81,psi3+4:0.91,psi5+6:0.32,psi7+8:0.28	AS1_535|SB1_8|S1_2247|ASSB1_0|AS2_280|SB2_2|S2_2391|ASSB2_0|AS3_217|SB3_4|S3_1255|ASSB3_0|AS4_99|SB4_3|S4_1434|ASSB4_0|AS5_33|SB5_1|S5_552|ASSB5_0|AS6_25|SB6_1|S6_549|ASSB6_0|AS7_63|SB7_2|S7_543|ASSB7_0|AS8_50|SB8_4|S8_602|ASSB8_0	AB1_44|AB2_52|AB3_6|AB4_18|AB5_157|AB6_33|AB7_205|AB8_50	-
ENSG00000141759.14	TXNL4A	18:79977661-79988278	-	ES	149	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,149,39	79977701,79986602,79986750,79988240	regular	0	False	bcc_135201|Cycle_480480	41,39	79977701,79988240	psi1+2:0.13,psi3+4:0.12,psi5+6:0.12,psi7+8:0.12	AS1_42|SB1_52|S1_119|ASSB1_0|AS2_57|SB2_35|S2_98|ASSB2_0|AS3_33|SB3_44|S3_42|ASSB3_0|AS4_34|SB4_28|S4_73|ASSB4_0|AS5_20|SB5_23|S5_65|ASSB5_0|AS6_22|SB6_32|S6_26|ASSB6_0|AS7_43|SB7_15|S7_78|ASSB7_0|AS8_35|SB8_15|S8_19|ASSB8_0	AB1_418|AB2_614|AB3_284|AB4_430|AB5_225|AB6_290|AB7_334|AB8_245	-
ENSG00000115556.13	PLCD4	2:218635876-218636528	+	ES_altAD	184	False	True	protein_coding	4_ss_annotated_(over_6_ss):218635931,218636243,218636392,218636471	56,150,58	218635931,218636243,218636392,218636471	regular	0	False	bcc_135201|Cycle_170912	39,41	218635914,218636488	psi1+2:NaN,psi3+4:NaN,psi5+6:NaN,psi7+8:0.97	AS1_90|SB1_27|S1_122|ASSB1_0|AS2_68|SB2_93|S2_100|ASSB2_0|AS3_77|SB3_29|S3_89|ASSB3_0|AS4_49|SB4_68|S4_77|ASSB4_0|AS5_79|SB5_60|S5_203|ASSB5_0|AS6_31|SB6_142|S6_149|ASSB6_0|AS7_94|SB7_96|S7_210|ASSB7_0|AS8_61|SB8_145|S8_170|ASSB8_0	AB1_0|AB2_4|AB3_2|AB4_2|AB5_0|AB6_2|AB7_1|AB8_6	-
ENSG00000007541.16	PIGQ	16:580932-582922	+	ES	62	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,62,40	580972,582248,582309,582883	regular	0	False	bcc_135201|Cycle_482196	41,40	580972,582883	psi1+2:0.88,psi3+4:0.91,psi5+6:0.88,psi7+8:0.91	AS1_206|SB1_205|S1_0|ASSB1_15|AS2_62|SB2_59|S2_0|ASSB2_2|AS3_113|SB3_194|S3_0|ASSB3_5|AS4_34|SB4_29|S4_0|ASSB4_0|AS5_117|SB5_194|S5_0|ASSB5_18|AS6_0|SB6_7|S6_0|ASSB6_0|AS7_140|SB7_293|S7_0|ASSB7_13|AS8_11|SB8_57|S8_0|ASSB8_2	AB1_36|AB2_6|AB3_14|AB4_7|AB5_25|AB6_0|AB7_26|AB8_1	-
ENSG00000022840.15	RNF10	12:120566941-120575668	+	ES	101	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,101,38	120566980,120571191,120571291,120575631	regular	0	False	bcc_135201|Cycle_393382	40,38	120566980,120575631	psi1+2:0.96,psi3+4:0.93,psi5+6:0.95,psi7+8:0.95	AS1_159|SB1_159|S1_57|ASSB1_0|AS2_179|SB2_300|S2_117|ASSB2_0|AS3_97|SB3_98|S3_66|ASSB3_0|AS4_111|SB4_158|S4_59|ASSB4_0|AS5_191|SB5_255|S5_101|ASSB5_0|AS6_229|SB6_218|S6_146|ASSB6_0|AS7_400|SB7_290|S7_95|ASSB7_0|AS8_313|SB8_383|S8_209|ASSB8_0	AB1_8|AB2_12|AB3_9|AB4_12|AB5_11|AB6_18|AB7_15|AB8_23	-
ENSG00000090861.15	AARS	16:70255796-70259019	-	ES_altD	194	False	True	protein_coding	3_ss_annotated_(over_5_ss):70255836,70258033,70258980	41,192,42	70255836,70258033,70258224,70258978	regular	0	False	bcc_135201|Cycle_181493	41,40	70255836,70258980	psi1+2:0.97,psi3+4:0.95,psi5+6:0.96,psi7+8:0.97	AS1_571|SB1_3|S1_572|ASSB1_0|AS2_455|SB2_3|S2_869|ASSB2_0|AS3_364|SB3_8|S3_447|ASSB3_0|AS4_293|SB4_1|S4_512|ASSB4_0|AS5_149|SB5_0|S5_293|ASSB5_0|AS6_103|SB6_0|S6_225|ASSB6_0|AS7_222|SB7_1|S7_391|ASSB7_0|AS8_123|SB8_1|S8_316|ASSB8_0	AB1_6|AB2_19|AB3_13|AB4_12|AB5_4|AB6_5|AB7_4|AB8_6	-
ENSG00000139436.20	GIT2	12:109947468-109953132	-	ES	105	True	True	protein_coding	all_splice_sites_known_(4_ss)	37,105,41	109947504,109951212,109951316,109953092	regular	0	False	bcc_135201|Cycle_250182	37,41	109947504,109953092	psi1+2:0.76,psi3+4:0.76,psi5+6:0.81,psi7+8:0.76	AS1_72|SB1_8|S1_24|ASSB1_0|AS2_60|SB2_7|S2_52|ASSB2_0|AS3_71|SB3_4|S3_30|ASSB3_0|AS4_32|SB4_5|S4_40|ASSB4_0|AS5_39|SB5_4|S5_35|ASSB5_0|AS6_29|SB6_3|S6_25|ASSB6_0|AS7_53|SB7_0|S7_33|ASSB7_0|AS8_23|SB8_6|S8_28|ASSB8_0	AB1_16|AB2_16|AB3_6|AB4_20|AB5_6|AB6_9|AB7_6|AB8_15	-
ENSG00000166167.17	BTRC	10:101430413-101479405	+	ES	78	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,78,38	101430452,101461981,101462058,101479368	regular	0	False	bcc_135201|Cycle_272275	40,38	101430452,101479368	psi1+2:0.95,psi3+4:NaN,psi5+6:0.95,psi7+8:0.91	AS1_74|SB1_24|S1_19|ASSB1_0|AS2_18|SB2_24|S2_2|ASSB2_0|AS3_37|SB3_26|S3_3|ASSB3_0|AS4_5|SB4_23|S4_0|ASSB4_0|AS5_91|SB5_24|S5_10|ASSB5_0|AS6_18|SB6_33|S6_6|ASSB6_0|AS7_68|SB7_21|S7_2|ASSB7_0|AS8_17|SB8_36|S8_6|ASSB8_0	AB1_5|AB2_0|AB3_1|AB4_3|AB5_3|AB6_2|AB7_5|AB8_3	-
ENSG00000081377.16	CDC14B	9:96509749-96515689	-	ES	154	False	False	protein_coding	2_ss_annotated_(over_4_ss):96509789,96515649	41,154,41	96509789,96514216,96514369,96515649	regular	0	False	bcc_135201|Cycle_170948	41,41	96509789,96515649	psi1+2:0.88,psi3+4:0.76,psi5+6:0.69,psi7+8:0.68	AS1_21|SB1_7|S1_25|ASSB1_0|AS2_21|SB2_6|S2_15|ASSB2_0|AS3_23|SB3_9|S3_13|ASSB3_0|AS4_14|SB4_3|S4_7|ASSB4_0|AS5_7|SB5_6|S5_12|ASSB5_0|AS6_5|SB6_5|S6_19|ASSB6_0|AS7_9|SB7_8|S7_5|ASSB7_0|AS8_3|SB8_1|S8_14|ASSB8_0	AB1_3|AB2_2|AB3_4|AB4_4|AB5_2|AB6_7|AB7_4|AB8_3	-
ENSG00000138380.17	CARF	2:202961387-202969958	+	ES	121	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,121,40	202961426,202966978,202967098,202969919	regular	0	False	bcc_135201|Cycle_80325	40,40	202961426,202969919	psi1+2:NaN,psi3+4:0.8,psi5+6:0.78,psi7+8:0.67	AS1_11|SB1_44|S1_19|ASSB1_0|AS2_15|SB2_7|S2_3|ASSB2_0|AS3_21|SB3_34|S3_13|ASSB3_0|AS4_5|SB4_13|S4_9|ASSB4_0|AS5_21|SB5_36|S5_21|ASSB5_0|AS6_29|SB6_14|S6_12|ASSB6_0|AS7_19|SB7_19|S7_13|ASSB7_0|AS8_2|SB8_13|S8_16|ASSB8_0	AB1_2|AB2_0|AB3_9|AB4_1|AB5_12|AB6_4|AB7_16|AB8_1	-
ENSG00000107186.16	MPDZ	9:13140110-13147588	-	ES	99	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,99,41	13140149,13143466,13143564,13147548	regular	0	False	bcc_135201|Cycle_181346	40,41	13140149,13147548	psi1+2:0.3,psi3+4:0.3,psi5+6:0.33,psi7+8:0.29	AS1_9|SB1_4|S1_0|ASSB1_0|AS2_6|SB2_11|S2_8|ASSB2_0|AS3_5|SB3_3|S3_0|ASSB3_0|AS4_6|SB4_12|S4_3|ASSB4_0|AS5_10|SB5_33|S5_6|ASSB5_0|AS6_11|SB6_9|S6_8|ASSB6_0|AS7_11|SB7_19|S7_9|ASSB7_0|AS8_11|SB8_12|S8_12|ASSB8_0	AB1_12|AB2_30|AB3_18|AB4_15|AB5_37|AB6_37|AB7_56|AB8_31	-
